term,description
Sourdement (сурдэман),приглушенно
Sourd et en s'eloignant (фр. сур э ан с'элюаньян),"приглушенно, как бы удаляясь [Дебюсси. «Маски»]"
Sourdine (фр. сурдин),сурдина
Sourdines (сурдин),сурдины; avec sourdines (авэк сурдин) - с сурдинами; sans sourdines (сан сурдин) - без сурдин; на фортепиано без левой педали; otez les sourdines (отэ ле сурдин) - снимите сурдины; mettez les sourdines (мэттэ ле сурдин) - наденьте сурдины
Sousaphon (англ. сузафоун),"сузафон (разновидность тубы, сконструиров. амер. дирижером Дж. Сузой)"
Sous dominante, (фр. судоминант) – субдоминанта
Sous mediante, (фр. сумэдиант) - нижняя медианта (VI ступ.)
Soutenu (фр. сутэню),сдержанно
Souvenir (фр. сувэнир),воспоминание
Spagnuolo (ит. спаньюóло),испанский; alia spagnuola (алла спаньюóла) - в исп. духе
Spannung (нем. шпаннунг),напряжение
Spartire (ит. спартирэ),составлять партитуру
"Spartito (ит. спартито), Spartitura (спартитура)",партитура
"Spatium (лат. спациум), Spazio (ит. спацио)",промежуток между двумя линиями нотоносца
Spazzola (ит. спаццола),метелочка; colla spazzola (кóлла спаццола) - [играть] метелочкой
"Speditamente (ит. спэдитамэнтэ), con speditezza (кон спэдитэцца), Spedito (спэдито)","быстро, проворно"
Spesso (ит. спэссо),"часто, частый, густой"
Spezzato (ит. спэццато),прерванный
Spianato (ит. спьянато),"просто, естественно, без аффектации"
Spiccato (ит. спиккато),штрих у смычковых инструментов; звук извлекается движением слегка подпрыгивающего смычка; буквально отрывистый
Spiel (нем. шпиль),игра
Spielen (шпилен),играть
Spielend (шпиленд),игриво
Spielleiter (нем. шпильляйтэр),"музыкант, горнист, менестрель, барабанщик"
Spielmann (нем. шпильман),странствующий музыкант средневековья; множ. число Spielleute (шпильлейтэ)
Spieltisch (нем. шпильтиш),исполнительский пульт в органе
Spigliato (ит. спильято),"непринужденно, проворно, ловко"
Spike (англ. спайк),упор у крупных смычковых инструментов
Spill (англ. спил),"продолжит, затихающие глиссандо в нисходящем направлении; буквально рассыпаться (джаз, термин)"
"Spinet (англ. спинэт), Spinett (нем. спинэт), Spinetta (ит. спинэтта)",спинет (старинный клавишный инструмент)
Spinnerlied (нем. шпиннэрлид),песнь за прялкой
Spirito (ит. спирито),"дух, ум, чувство; con spirito (кон спирито), Spiritosamente (спиритозамэнтэ), Spiritoso (спиритозо), Spirituoso (спиритуозо) - с увлечением, жаром, воодушевленно"
Spiritual (англ. спиритьюэл),религиозная песня сев.-амер. негров
Spirituale (ит. спиритуале),духовный
Spirituel (фр. спиритюэль),1) духовный; 2) остроумный
Spirituel et discret (фр. спиритюэль э дискрэ),"с юмором и сдержанно [Дебюсси. «Генерал Лявин, эксцентрик»]"
Spitze (нем. шпицэ),конец смычка; an der Spitze - играть концом смычка
Spitzharfe (нем. шпицхарфэ),арпанетта
Spitzig (нем. шпицих),"остро, колко"
"Splendid (англ. сплэндид), Splendide (фр. спляндид)","великолепный, блестящий"
"Splendidamente (ит. сплендидамэнтэ), con splendidezza (кон сплендидэцца), Splendido (сплендидо)","блестяще, великолепно"
Spottlied (нем. шпотлид),шуточная песня
Sprechend (нем. шпрэхэнд),как бы говоря [Бетховен. «Разочарование»]
Sprechgesang (нем. шпрэхгезанг),декламационное пение
"Springbogen (нем. шпрингбоген), Springender Bogen (шпрингендэр боген), Springing bow (англ. спринин боу)",[играть] прыгающим смычком
Springtanz (нем. шпрингтанц),танец с прыжками
Squadro di ferro (ит. скуадро ди фэрро),чугунная рама у фортепиано
Square dance (англ. скуээ дане),амер. нар. танец
Squiffer (англ. скуйфэ),концертино (6-гранная гармоника)
Squillante (ит. скуиллянтэ),"звонкий, звучный"
Squillo (скуилло),"звук, звон"
Stabat mater dolorosa (лат. стабат матэр долорóза),католическое песнопение «Стояла мать скорбящая»
Stabile (ит. стабиле),устойчиво
Stabspiel (нем. штабшпиль),ксилофон
Staccato (ит. стаккато),1) [играть] отрывисто; 2) на смычковых инструментах звук извлекается легким подталкиванием смычка при движении в одну сторону
Stachel (нем. штахэль),упор у крупных смычковых инструментов
Stagione (ит. стаджонэ),"сезон (оперный, концертный)"
Stahlspiel (нем. штальшпиль),металлофон
Stammakkord (нем. штаммаккорд),аккорд в основном виде (с основн. тоном в басу)
Stammton (нем. штаммтон),"основной тон; то же, что Grundton stanco (ит. станко) - устало, утомленно"
Standard (англ. стэндэд),"стандарт; в джаз., легкой музыке обозначение песенной темы которых часто используются"
Standard pitch (англ. стэндэд пич),нормально настроенный тон
Standchen (нем. штэндхен),серенада
Standchenartig (нем. штэндхенартих),в характере серенады
Stange (нем. штанге),древко смычка
Stanghetta (ит. стангэтта),тактовая черта
Stark (нем. штарк),"сильно, крепко, мощно"
Starr (нем. штар),"упорно, настойчиво, упрямо"
Starting slowly but gradually animating (англ. стаатин слоули бат грэдьюэли энимэйтин),"начинать медленно, но постепенно оживляться [Бриттен]"
Statt (нем. штат),вместо
"Stave, staff (англ. стэйв, стаф)",нотный стан
Steg (нем. штэг),1) подставка у смычковых инструментов; am Steg (ам штэг) - [играть] у подставки; 2) штег у фортепиано
Stegreifausfuhrung (нем. штэграйфаусфюрунг),импровизация
Steigernd (нем. штайгернд),"повышая, усиливая, нарастая"
Steigerung (штайгерунг),"повышение, усиление"
Steinspiel (нем. штайншпиль),ударный инструмент из камня
Stellschraube (нем. штэльшраубэ),винт смычка
"Stentando (ит. стэнтандо), Stentato (стэнтато)",тяжело
Step (англ. стэп),"шаг, па (в танце)"
Steso (ит. стэзо),растянуто
Stesso (ит. стэссо),"тот же самый, такой же"
Stets (нем. штэте),"неизменно, все время"
Stichwort (нем. штихворт),реплика
Stick (англ. стик),1) древко смычка; 2) дирижерская палочка; 3) палочка для ударных инструментов
"Stil (нем. штиль), Stile (ит. стиле), Stilo (стило)",стиль
Stimmbogen (нем. штиммбоген),крона у медных духовых инструментов
Stimme (нем. штиммэ),1) голос; 2) душка у смычковых инструментов; 3) один из регистров органа
Stimmfuhrer (нем. штиммфюрэр),дирижер хора
Stimmfuhrung (нем. штиммфюрунг),голосоведение
Stimmgabel (нем. штиммгабэль),камертон
Stimmhaft (нем. штиммхафт),звучный
Stimmschlüssel (нем. штиммшлюссэль),ключ для настройки инструмента
Stimmstock (нем. штиммшток),душка у смычковых инструментов
Stimmton (нем. штиммтон),нормально настроенный тон
Stimmumfang (нем. штиммумфанг),диапазон голоса
Stirnmung (нем. штиммунг),1) настройка; 2) настроение
Stimmungsbilder (штиммунгсбильдер),картины настроений
Stimmzug (нем. штиммцуг),кулиса
Stinguendo (ит. стингуэндо),угасая
Stiracchiato (ит. стираккьято),с усилением; буквально натянуто
Stirando (ит. стирандо),растягивая
Stolz (нем. штольц),гордо
Stomp (англ. стомп),"1) афро-амер. танец; 2) джаз, манера исполнения с применением остинатных ритмических формул в мелодии"
Stonare (ит. стонарэ),детонировать; фальшивить
Stonazione (стонациóнэ),"детонация, фальшь"
Stop (англ. стоп),"1) клапан, вентиль; 2) лад у щипковых инструментов"
"Stoppato (ит. стоппато), Stopped (англ. стопд)",закрыть [рукой раструб валторны для приглушения звука]
Stopping (англ. стопин),изменение высоты звука на струнном и духовом инструменте путем прижатия струн или клапана
Stops (англ. стопе),"регистр органа: 1) группа труб определен, диапазона и одинаков, тембра; 2) механическое устройство, позволяющее включать различные группы труб"
Stop time (англ. стоп тайм),указание на отсутствие ритмического аккомп. в джазе; буквально остановленное время
Stormy (англ. стооми),бурно
Straff (нем. штраф),строго
Straff im Tempo (штраф им тэмпо),"строго в темпе, без отклонений"
Straight mute (англ. стрэйт мьют),прямая сурдина для медного духового инструмента
"Strappando (ит. страппандо), Strappato (страппато)",отрывисто
"Strascicando (ит. страшикандо), Strascinando (страшинандо)","протяжно, растягивая"
Strathspey (англ. стратсспэй),быстрый шотл. танец
Stravagante (ит. стравагантэ),"причудливо, экстравагантно"
Stravaganza (страваганца),"причудливость, экстравагантность"
Street band (англ. стриит бэнд),"инструментальные ансамбли северо-амер. негров, играющих на улице"
Street,organ (англ. стритоген) - шарманка; буквально уличный орган
Streichinstrumente (нем. штрайхинструмэнтэ),струнные смычковые инструменты
Streichorchester (нем. штрайоркэстер),струнный орк.
Streichquartett (нем. штрайхквартэт),струнный квартет
Streng (нем. штрэнг),строго
Streng im Takt (штрэнг им такт),строго в ритме
Streng im Tempo (штрэнг им тэмпо),строго в темпе
Strenger Satz (нем. штрэнгер зац),строгий стиль
Streng wie ein Kondukt (нем. штрэнг ви айн кондукт),"строго, в характере похоронного шествия [Малер. Симфония № 51]"
Streng im Zeitmass (нем. штрэнг им цайтмас),строго в темпе
Strepito (ит. стрэпито),"шум, грохот, con strepito (кон стрэпито), Strepitoso (стрэпитозо) - шумно, громко"
Stretta (ит. стрэтта),"стретта, буквально, сжатие: 1) в фуге проведение темы, когда она еще продолжается в др. голосе; 2) заключит, часть произведения, проводимая в ускоренном темпе"
Stretto (ит. стрэтто),ускоренно
"Strich (нем. штрих), Strichart (штрихарт)",штрих
Strich fur Strich (штрих фюр штрих),"каждый звук играть самостоят, движением смычка; то же, что détaché"
Strict (фр. стрикт),"точный, строгий"
Strictement (стриктэман),"точно, строго"
"Stridendo (ит. стридэндо), Strident (фр. стридан)","резко, пронзительно"
String (англ. стрин),1) струна: 2) струнный инструмент
String band (стрин бэнд),струнный орк.
Stringed (стринд),струнный
Stringed instruments (стринд инструменте),струнные инструменты
String bass (англ. стрин бэйс),контрабас (в джазе)
String,board (англ. стрин-бóод) - подгрифок [у смычковых инструментов]
Stringendo (ит. стринджэндо),ускоряя
String quartet (англ. стрин куотэт),струнный квартет
Strisciando (ит. стришандо),"скользя; то же, что glissando"
Strisciando con l'arco in tutta la sua lunghezza (ит. стришандо кон льарко ин тутта ля суа люнгецца),вести всем смычком
"Strofa (ит. строфа), Strofe (строфэ)","строфа, куплет"
"Strotnento (ит. стромэнто), Strumento (струмэнто)","инструмент; множ. число Stromenti, Strumenti"
Strong (англ. строи),"сильно, решительно"
"Strophe (фр. строф, англ. стрóуфи), Strophe (нем. штрофэ)","строфа, куплет"
Strophenlied (нем. штрофэнлид),куплетная песня
Strutnentale (ит. струмэнтале),инструментальный
"Strumentatura (ит. струмэнтатура), Strumentazione (струмэнтационэ)",инструментовка
Strumento a corda (ит. струмэнто а корда),струнный инструмент
Strumento ad arco (ит. струмэнто ад арко),смычковый инструмент
Strumento a percussione (ит. струмэнто а пэркуссионэ),ударный инструмент
Strumento a pizzico (ит. струмэнто а пиццико),щипковый инструмент
Strumento da fiato (ит. струмэнто да фьято),духовой инструмент
Strumento da fiato di legno (ит. струмэнто да фьято ди леньо),деревянный духовой инструмент.
Stuck (нем. штюк),пьеса
"Studie (нем. штудиэ), Studio (ит. студио), Study (англ. стади)","этюд, упражнение"
Stufe (нем. штуфэ),ступень лада
Stumm (нем. штум),беззвучный
Stumm niederdrucken (штум нидэрдрюкен),беззвучно нажать [клавишу]
Sturntisch (нем. штюрмиш),"бурно, стремительно"
Sturze (нем. штюрцэ),раструб у духового инструмента
"Style (фр. стиль, англ. стайл)",стиль
Style galant (фр. стиль галан),галантный стиль (18 в.)
Style libre (фр. стиль либр),свободный стиль полифонич. письма
Style lie (фр. стиль лиэ),вид полифонич. письма
Style rigoureux (стиль ригурэ),строгий стиль полифонич. письма
Su (ит. су),"на, над, у, к, в"
Suave (фр. сюав),"приятный, нежный; avec suavite (авэк сюавитэ) - приятно, нежно"
Sub (лат. суб),под
Subbass (нем. суббас),один из регистров органа
Sub tone (англ. саб тоун),прием игры на саксофоне [приглушенным звуком]
"Subdominant (англ. сабдоминэнт), Subdominante (нем. субдоминантэ)",субдоминанта
Subit (фр. сюби),внезапный
Subitement (сюбитман),внезапно
Subito (ит. субито),"внезапный, внезапно"
Subject (англ. сабджикт); Subjekt (нем. субъект),1) тема; 2) тема фуги; 3) нач. голос в каноне
Subkontrabasstuba (нем. субконтрабастуба),медный духовой инструмент
Subkontroktave (нем. субконтроктавэ),субконтроктава
"Sublime (ит. сублимэ, фр. сюблим), con sublimita (ит. кон сублимита)","возвышенно, величественно"
Submediant (англ. сабмидиэнт),нижняя медианта (VI ступ.)
Subsemitonium modi (лат. субсэмитониум моди),вводный тон
Succession (фр. сюксэсьон),последовательность
Suddenly (англ. садили),"вдруг, внезапно"
Sugli (ит. сульи),"предлог su в соед. с опред. артиклем мужского рода множественного числа - на, над, у, к, в"
Sui (ит. суи),"предлог su в соед. с опред. артиклем мужского рода множественного числа - на, над, у, к, в"
"Suite (фр. сюит, англ. суйт), Suite (нем. сюйтэ)",сюита
Suivez (фр. сюивэ),следуйте; напр. Suivez le piano (сюивэ лё пьяно) - следуйте за партией фортепиано
Suivez le solo (сюивэ лё соло),следуйте за солистом
Sujet (фр. сюжэ),1) тема; 2) тема фуги; 3) нач. голос в каноне
Sul (ит. суль),"предлог su в соед. с опред. артиклем мужского рода единственного числа - на, над, у, к, в; напр., sul а [играть] на струне ля"
Sull’ (ит. суль),"предлог su в соед. с опред. артиклем муж., женского рода единственного числа - на, над, у, к, в"
Sul serio (ит. суль сэрио),серьезно
Sulla (ит. сулла),"предлог su в соед. с опред. артиклем женского рода единственного числа - на, над, у, к, в"
Sulla corda... (ит. сулла корда),[играть] на струне...
Sulle (ит. сулле),"предлог su в соед. с опред. артиклем женского рода множественного числа - на, над, у, к, в"
Sullo (ит. сулло),"предлог su в соед. с опред. артиклем мужского рода единственного числа - на, над, у, к, в"
Suo (ит. суо),"свой, собственный"
Suonare (ит. суонарэ),"звучать, играть; то же, что sonare"
Suono (ит. суоно),звук
Suono alto (ит. суоно альто),высокий тон
Suono armonico (ит. суоно армонико),обертон
Suono grave (ит. суоно гравэ),низкий тон
Suono reale (ит. суоно реале),обычный звук инструмента (без сурдин и т. д.)
Superdominant (англ. сьюпэдоминэнт),доминанта к доминанте
"Superieur (фр. сюпэрьёр), Superiore (ит. супэриорэ)","верхний, высший"
Supertonic (англ. сьюпэртоник),верхний вводный тон (II ступ.)
"Supplement (фр. сюплэман, англ. саплмэнт), Supplemento (ит. супплемэнто)","добавление, приложение"
"Suppliant (фр. сюплиан), Supplichevole (ит. суппликеволе)",умоляя
Sur (фр. сюр),на
Sur la corde... (сюр ля корд),[играть] на струне...
Surtout (фр. сюрту),"в особенности, главным образом"
Susdominante (фр. сю доминант),нижняя медианта (VI ступ.)
"Suspension (фр. сюспансьон, англ. сэспэншн)",задержание
Suspirium (лат. суспириум),короткая пауза (в ранней псалмодии и мензуральной музыке)
Sussurando (ит. суссурандо),"шепотом, наподобие шелеста листьев"
Sustonique (фр. сютоник),верхний вводный тон (II ступ.)
"Svaporando (ит. звапорандо), svaporato (звапорато)","ослаблять звук так, чтобы его не стало слышно; буквально испаряясь"
Svegliando (ит. звэльяндо),"пробуждаясь, бодро, свежо"
Sveltezza (ит. звэльтэцца),"живость, бойкость"
Svelto (звэльто),"живо, бойко, непринужденно"
Svolazzando (ит. зволаццандо),порхая [Лист]
Svolgimento (ит. звольджимэнто),разработка
Sweet (англ. суйт),исполнять мягко
Sweet music (суйт мьюзик),"«сладкая музыка», назв. сентимент. салонной музыки 20 в. в США"
Swell (англ. суэл),побочная клавиатура органа
Swing (англ. суин),"1) «свинговать», играть с ритмич. раскачкой, опережая или запаздывая при взятии нот, сдвигая акценты и т. п.; 2) джазовый стиль; 3) средний темп, благоприятный для применения так наз. ритмич. раскачки; буквально качать, раскачивать"
Swing music (англ. суйн мьюзик),"один из видов джаз, музыки"
Symphonia (греч. симфония),"созвучие, консонанс"
Symphonic (англ. симфóник),симфонический
Symphonic music (симфóник мьюзик),"симф. музыка, симф. произведение"
"Symphonie (фр. сэнфони), Symphonie (нем. симфони)",симфония
"Symphonique (фр. сэнфоник), Symphonisch (нем. симфониш)",симфонический
Symphonische Dichtung (нем. симфóнишэ дихтунг),симф. поэма
Symphonischer Jazz (нем. симфонишэр джаз),симфоджаз
Symphony (англ. симфэни),"симфония, симфонический"
Symphony orchestra (симфени окистрэ),симф. оркестр
Syncopatio (лат. синкопацио),синкопа и учение о ее применении
"Syncope (фр. сэнкоп, англ. синкэпи), Synkope (нем. синкопэ)",синкопа
Synopsie (фр. синопси),"синопсия, цветной слух"
Syrinx (греч. сиринкс),флейта Пана
Systema participation (лат. систэма партиципатум),темперация
Szenarium (нем. сцэнариум),сценарий
Szene (нем. сцэнэ),1) сцена; 2) явление в пьесе
"Tablature (англ. тэблэйчэ), Tabulatur (нем. табулатур), Tabulatura (лат. табулатура), Tabulature (фр. табюлятюр)",табулатура: 1) система записи инструментальной музыки буквами и цифрами; 2) правила построения музыкально-поэтических произведений мейстерзингеров
Table (фр. табль),верхняя дека у струнных инструментов и дека арфы; pres de la table (прэ де ля табль) - [играть] у деки (указание для арфы)
Tableau (фр. табло),картина; tableau musical (табло мюзикаль) - музыкальная картина
Table d'harmonie (фр. табль д'армони),резонансная дека
Tabor (англ. тэйбэ),тамбурин (провансальский барабан)
"Tace (ит. тачэ), Tacet (лат. тацэт)",указание о длительной паузе; буквально молчит
"Tact (англ. тэкт), tactum (лат. тактум), tactus (тактус)",такт
Tafelmusik (нем. тафэльмузик),застольная музыка
Tail (англ. тэйл),хвостик у ноты
Tail gate (англ. тэйл гейт),манера исполнения на тромбоне в Нью-Орлеанском джазе
Taille (фр. тай),1) старинное название тенора (голоса); 2) теноровый регистр музыкального инструмента; 3) теноровая виола; 4) размер [инструмента]
Tail,"piece (англ. тэйлпиис) - подгрифок у смычковых инструментов; то же, что string-board"
Takt (нем. такт),такт; im Takt (им такт) - в такт
Taktart (нем. тактарт),"размер, метр"
"Taktenstrich (нем. тактэнштрих), Taktstrich (тактшрих)",тактовая черта
Taktieren (нем. тактирэн),тактировать
Taktmassig (нем. тактмэссих),"ритмично, в такт"
Taktmesser (нем. тактмэссэр),метроном
Taktstock (нем. тактшток),дирижерская палочка
Taktteil (нем. такттайль),доля такта
"Taktvorzeichnung (нем. тактфорцайхнунг), Taktzeichen (тактцайхэн)",обозначение метра в ключе
"Talk film (англ. took филм), Talking film(тоокин филм)",звуковой фильм; буквально говорящий
"Tallone (ит. таллонэ), Talon (фр. талон)","колодочка смычка; al tallone (ит. аль таллонэ), du talon (фр. дю талон) - [играть] у колодочки смычка"
Tambour (фр. танбур),барабан
Tambour a friction (фр. танбур а фриксьон),ударный инструмент (звук извлекается посредством легкого трения влажного пальца о мембрану)
"Tambour a grelots (фр. танбур а грэло), Tambour de basque (танбур дэ баск)",бубен
Tambour de bois (фр. танбур дэ буа),деревянная коробочка (ударный инструмент)
"Tambour de Provence (фр. танбур дэ Прованс), Ttambourin provencal (танбурэн провансаль)",тамбурин (прованс. барабан)
Tambourin (фр. танбурэн),тамбурин: 1) провансальский барабан; 2) старинный провансальский танец
Tambourine (англ. тамбэрин),бубен
Tambour militaire (фр. танбур милитэр),военный барабан
Tambour roulant (фр. танбур рулан),цилиндрический (французский) барабан
Tambour sans timbre (фр. танбур сан тэмбр),барабан без струн
Tambour voile (фр. танбур вуале),"барабан, покрытый материей"
Tambour avec sourdine (танбур авэк сурдин),барабан с сурдиной
"Tamburello (ит. тамбурэлло), tamburello basco (тамбурэлло баско), Tamburo basco (тамбуро баско)",бубен
"Tamburin (нем. тамбурин), Tamburino (ит. тамбурино)",бубен
Tamburo (ит. тамбуро),барабан
"Tamburo a rullo (ит. тамбуро а рулло), Tamburo rullante(тамбуро руллантэ), Tamburo vecchio (тамбуро вэккио)",цилиндрический (французский) барабан
Tamburo coperto (ит. тамбуро копэрто),"барабан, покрытый материей"
Tamburo con sordino (тамбуро кон сордино),барабан с сурдиной
Tamburo di legno (ит. тамбуро ди леньо),"деревянная коробочка (ударный инструмент); то же, что legno"
Tamburo di legno africano (тамбуро ди леньо африкано),"дерев, барабан (африканский)"
"Tamburo di Provenza (ит. тамбуро ди Провэнца), Tamburo provenzale (тамбуро провэнцале)",тамбурин (прованс. барабан)
Tamburo militare (ит. тамбуро милитарэ),военный барабан
Tamburo piccolo (ит. тамбуро пикколо),малый барабан
Tamburo scordato (ит. тамбуро скордато),барабан без струн
Tam,"tam (ит., фр., англ. тамтам), Tamtam (нем. тамтам) - тамтам (ударный инструмент)"
Tango (исп. танго),танец испано-кубинского происхождения
Tanto (ит. танто),"сколько, столь, так; non tanto (нон танто) - не столь; allegro non tanto (аллегро нон танто) - не очень скоро"
Tanz (нем. танц),танец
Tanzlied (нем. танцлид),танцевальная песня
Tanzmassig (нем. танцмэссих),в характере танца
Taper (фр. тапэ),1) играть на ударном инструменте; 2) играть на рояле слишком громко
Tapeur (фр. тапэр),"тапёр (пианист, сопровождающий танцы)"
Tappa (ит. таппа),пробка (у флейты)
Tappisch (нем. тэппиш),неуклюже [Малер. Симфония № 9]
Taquinerie (фр. такинэри),поддразнивание; avec taquinerie (авэк такинэри) - с задором
Tarantella (ит. тарантэлла),неаполитанский танец
Tardando (ит. тардандо),"замедляя, задерживая; то же, что ritardando"
Tardanza (ит. тарданца),"медлительность; con tardanza (кон тарданца), Tardo (тардо) - медлительно"
Taschengeige (нем. ташэнгайге),маленькая 3-струнная скрипка; буквально карманная скрипка
Taschenpartitur (нем. ташэнпарти тур),карманная партитура
Tastatur (нем. тастатур),клавиатура
Taste (нем. тастэ),клавиша
Tasteninstrument (нем. тастэнинструмэнт),клавишный инструмент
Tasti (ит. тасти),лады у струнных щипковых инструментов
Tastiera (ит. тастьера),1) клавиатура; 2) гриф у струнных инструментов; sulla tastiera (сулла тастьера) - [играть] у грифа (на смычковом инструменте)
Tastiera per luce (ит. тастьера пэр лючэ),"световая клавиатура (инструмент, включенный Скрябиным в партитуру «Прометея»)"
Tasto (ит. тасто),1) клавиша; 2) гриф у струнных инструментов;  sul tasto (суль тасто) - [играть] у грифа (на смычкового инструмента)
Tasto solo (ит. тасто соло),играть цифрованный бас без аккордов
Tatto (ит. татто),такт
Tavola armonica (ит. тавола армоника),резонансная дека;  presso la Tavola (прэссо ля тавола) - [играть] у деки (указание для арфы)
Те deum (лат. тэ дэум),"католическое песнопение - «Тебя, боже»"
Teatro (ит. тэатро),театр
Teatro liriсо (тэатро лирико),музыкальный театр
Tedesco (ит. тэдэско),немецкий; alia tedesca (алла тэдэска) - в немецком духе
Teil (нем. тайль),1) часть; 2) доля (такта)
Teilen (тайлен),делить
Teilton (нем. тайльтон),обертон
Tema (ит. тэма),тема
Tempera (ит. тэмпэра),тембр
"Temperament (англ. тэмпэрамэнт), Temperament (фр. танпэраман), Temperamento (ит. тэмпэрамэнто)",1) темперамент; 2) темперация
Temperando (ит. тэмпэрандо),"умеряя, смягчая"
"Temperare (ит. тэмпэрарэ), Temperer (фр. танпэрэ),  Temperieren (нем. тэмпэрирэн)",темперировать
Temperate (ит. тэмпэрато),умеренно
Temperatur (нем. тэмпэратур),темперация
Tempere (фр. танпэрэ),темперированный
"Tempestosamente (ит. тэмпэстозамэнтэ), Tempestoso (тэмпэстозо)","бурно, взволнованно"
Tempetueusement (фр. танпэтюезман),бурно
Tempetueux (танпэтюэ),бурный
Temple,block (англ. тэмпл-блок) - темпл-блок (ударный инструмент)
"Tempo (англ. тэмпоу), Tempo (нем. тэмпо)",темп
Tempo (ит. тэмпо),1) темп; 2) ритм; 3) такт
Tempo a piacere (ит. тэмпо а пьячэрэ),в произв. темпе
Tempo comodo (ит. тэмпо комодо),умеренный темп
Tempo del comincio (ит. тэмпо дэль ко,минчо) - первоначальный темп
Tempo di minuetto (ит. тэмпо ди минуэтто),в темпе менуэта
Tempo di polacca (ит. тэмпо ди полакка),в темпе полонеза
Tempo di prima parte (ит. тэмпо ди прима партэ),в темпе I части пьесы
Tempo di valzer (ит. тэмпо ди вальцэр) в темпе вальса,
Tempo frettevole (ит. тэмпо фрэттэволе),поспешный темп
Tempo guisto (ит. тэмпо джусто),"1) точно в темпе, следуя метру; 2) играть в темпе, характерном для данного жанра"
Tempo precedente (ит. тэмпо прэчэдэнтэ),предшествующий темп
Tempo primo (ит. тэмпо примо),первоначальный темп
Tempo reggiato (ит. тэмпо рэджато),следовать за солистом
Tempo rubato (ит. тэмпо рубато),ритмически свободно
Tempo wie vorher (нем. тэмпо ви форхэр),предшествующий темп
Temps (фр. тан),1) темп; 2) такт; 3) доля [метрич.]
"Temps faible (фр. тан фэбль), Temps leve (тан левэ)",слабая доля такта
"Temps fort (фр. тан фор), Temps frappe (тан фраппэ)",сильная доля такта
Tempus (лат. тэмпус),в мензуральной нотации определение длительности brevis и соотношение между brevis и semibrevis
Tempus imperfectum (лат. тэмпус импэрфэктум),2-дольное деление
Tempus perfectum (тэмпус пэрфэктум),3-дольное деление (термины мензуральной музыки)
"Tenace (ит. тэначэ), Tenacemente (тэначэмэнтэ), con tenacite (кон тэначита)","упорно, настойчиво, твердо"
Tenderly (англ. тэндэли),"нежно, хрупко, мягко"
Tendre (фр. тандр),"нежный, мягкий"
Tendrement (тандрэман),"нежно, мягко, ласково"
Tenebroso (ит. тэнэброзо),мрачно
Tenendo (ит. тэнэндо),"выдерживая, соблюдая ритм и темп"
"Teneramente (ит. тэнэрамэнтэ), con tenerezza (кон тэнэрэцца), Tenero (тэнэро)","нежно, мягко, ласково"
"Tenere (ит. тэнэрэ), Tenir (фр. тэнир)","держать, сохранять"
Tenir le piano (фр. тэнир лё пиано),аккомпанировать на фортепиано
Tenir le tambour de basque tout bas au sol et le faire tomber (фр. тэнир лё танбур дэ баск ту ба о соль э лё фэр тонбэ),низко держать бубен и уронить его [Стравинский. «Петрушка»]
"Tenor (нем. тэнор), Tenor (англ. тэнэ), Tenor (фр. тэнор), Tenore (ит. тэнорэ)","тенор: 1) высокий мужской голос; 2) термин, добавляемый к названию инструмента для обозначения тенорового регистра (например, sassofono tenore)"
Tenorbass (нем. тэнорбас),"медный духовой инструмент; то же, что Baryton"
Tenor clef (фр. тэнор кле),теноровый ключ
Tenor drum (англ. тэнэ драм),цилиндрический (французский) барабан
Tenore di forza (ит. тэнорэ ди фóрца),драматический тенор
Tenore di grazia (ит. тэнорэ ди грациа),лирический тенор
Tenore mezzo caratterre (ит. тэнорэ мэдзо караттэрэ),характерный тенор
"Tenorhorn (нем. тэнóрхорн), Tenor horn (англ. тэнэ хоон)",теноргорн (медный духовой инструмент.)
Tenorista (ит. тэнориста),певец-тенор
Tenor oboe (англ. тэнэ óубоу),теноровый гобой [Пёрселл]
Tenorposaune (нем. тэнорпозаунэ),теноровый тромбон
Tenorschlussel (нем. тэноршлюссель),теноровый ключ
Tenor trombone (англ. тэнэ тромбóун),теноровый тромбон
Tenor,"tuba (англ. тэнэ-тьюбэ), horn- tuba (хóон тьюбэ) - вагнеровская туба"
Tenth (англ. тэнтс),"децима; буквально, 10-й"
Tenue (фр. тэню),продление звука путем лиги
Tenuemente (ит. тэнуэмэнтэ),"слабо, легко"
Tenuto (ит. тэнуто),"выдержанно, точно по длительности и силе"
"Tepidamente (ит. тэпидамэнтэ), Tiepidamente (тьепидамэнтэ)","сдержанно, равнодушно"
Ter (лат. тэр),трижды
Tercet (англ. тэсит),терцет
"Term (англ. тээм), Terme (фр. тэрм), Termine (ит. тэрминэ), Terminus (нем. тэрминус)",термин
"Terminologia (ит. тэрминолоджиа), Terminologie (фр. тэрминоложи), Terminologie (нем. тэрминологи), Terminology (англ. тэрминолэджи)",терминология
Ternaire (фр. тэрнэр),3-дольный
Tertia (лат. тэрциа),терция
"Terz (нем. тэрц), Terza (ит. тэрца)",1) терция; 2) один из регистров органа
"Terzett (нем. тэрцэт), Terzetto (ит. тэрцэтто, англ. тэтсэтоу)",терцет: 1) ансамбль для 3 исполнителей (обычно вокальный); 2) произведение для 3 исполнителей (обычно вокальное)
Terzina (ит. тэрцина),триоль
Terzo rivolto (ит. тэрцо ривóльто),секунда корд
